=======产品序列号=======                                	 =======产品序名称=======                                	 被引用次数                                             
ME03010005                                         	 贴片黄色LED灯                                           	 1                                                 
MC0202DE000001                                     	 贴纸-代金券                                             	 1                                                 
MC02040002                                         	 代金券                                                	 1                                                 
MC1301BX010001                                     	 信封90*160mm                                         	 1                                                 
MC0202DE000200                                     	 贴纸-粗砂劳保手套                                          	 1                                                 
MC05010014                                         	 粗砂劳保手套                                             	 2                                                 
MC0202DE000171                                     	 贴纸-隔热手套                                            	 1                                                 
ME05010008                                         	 硅胶隔热手套                                             	 1                                                 
MC0202DE000204                                     	 贴纸-纯净水                                             	 2                                                 
MC02010007                                         	 A4彩纸                                               	 5                                                 
MC0202DE000321                                     	 热敏贴纸-A4彩纸                                          	 1                                                 
MC0202DE000233                                     	 贴纸-A4彩纸                                            	 1                                                 
MC1302BF010005                                     	 分装瓶15ml无盖                                          	 1                                                 
MC0202DE000123                                     	 贴纸-牛奶                                              	 1                                                 
MC11020007                                         	 全脂牛奶                                               	 1                                                 
MC0202DE000040                                     	 贴纸-小钢珠热敏贴纸                                         	 1                                                 
MC1301BT010001                                     	 透明自封袋1号                                            	 7                                                 
ME01020003                                         	 钢珠(直径<5mm                                          	 1                                                 
MC11020011                                         	 柠檬汁                                                	 2                                                 
MC0202DE000244                                     	 贴纸-柠檬汁热敏贴纸                                         	 1                                                 
MC0202DE000198                                     	 贴纸-大钢珠热敏贴纸                                         	 1                                                 
ME01020004                                         	 钢珠(直径5mm                                           	 1                                                 
MC0202DE000202                                     	 贴纸-磁球积木                                            	 1                                                 
ME14010003                                         	 磁球积木                                               	 1                                                 
MC0202DE000150                                     	 贴纸-可口可乐                                            	 2                                                 
MC11020009                                         	 可口可乐                                               	 2                                                 
MC01020005                                         	 铁丝                                                 	 1                                                 
MC0202DE000061                                     	 贴纸-铁丝                                              	 1                                                 
MC0202DE000235                                     	 贴纸-9g微型舵机                                          	 3                                                 
ME03030003                                         	 微型舵机                                               	 1                                                 
MC0202DE000089                                     	 贴纸-试管架40*30mm                                      	 2                                                 
ME09030001                                         	 试管架                                                	 1                                                 
MC0202DE000084                                     	 贴纸-双头不锈钢药匙                                         	 1                                                 
MC0202DE000212                                     	 贴纸-玻璃棒30cm40*30mm                                  	 1                                                 
ME09030019                                         	 玻璃棒30cm                                            	 1                                                 
MC0202DE000005                                     	 热敏贴纸-锥形瓶（含瓶塞）                                      	 1                                                 
MC05030029                                         	 砂芯硅胶瓶塞                                             	 2                                                 
ME09030005                                         	 高硼硅玻璃锥形瓶                                           	 3                                                 
MC02010001                                         	 素描纸                                                	 3                                                 
MC0202DE000077                                     	 贴纸-素描纸80*60mm                                      	 2                                                 
MC0202DE000030                                     	 贴纸-牙膏                                              	 1                                                 
MC08010001                                         	 牙膏                                                 	 1                                                 
MC1302BR010001                                     	 软管5ml有盖                                            	 1                                                 
MC0202DE000131                                     	 贴纸-面粉                                              	 2                                                 
MC11010004                                         	 面粉                                                 	 2                                                 
MC0202DE000017                                     	 贴纸-意大利面80*60mm                                     	 1                                                 
MC11010021                                         	 意大利面                                               	 1                                                 
MC1301BC010007                                     	 长条透明自封袋110*300mm                                   	 1                                                 
MC0202DE000173                                     	 贴纸-蜂蜜                                              	 1                                                 
MC11010019                                         	 蜂蜜                                                 	 1                                                 
MC0202DE000045                                     	 贴纸-橡胶手套M号60*40mm                                   	 1                                                 
MC05010022                                         	 橡胶手套M号                                             	 1                                                 
MC0202DE000004                                     	 贴纸-紫薯粉                                             	 1                                                 
MC11010022                                         	 紫薯粉                                                	 1                                                 
MC0202DE000127                                     	 贴纸-目标溶液                                            	 1                                                 
MC1302BF010008                                     	 分装瓶20ml无盖                                          	 2                                                 
MC1302BQ010003                                     	 千秋盖透明1.8cm口径                                       	 1                                                 
MC0202DE000051                                     	 贴纸-无水乙醇                                            	 1                                                 
MC1302BY010002                                     	 药品瓶30ml有盖                                          	 3                                                 
MC0202DE000139                                     	 贴纸-绿豆热敏贴纸                                          	 1                                                 
MC11010023                                         	 绿豆                                                 	 2                                                 
MC1302BF010007                                     	 分装瓶10ml无盖                                          	 1                                                 
MC0202DE000303                                     	 贴纸-医用口罩小号80*60mm                                   	 1                                                 
MC0202DE000133                                     	 贴纸-棉签                                              	 1                                                 
MC08020012                                         	 棉签                                                 	 1                                                 
MC02010003                                         	 宣纸                                                 	 1                                                 
MC0202DE000032                                     	 贴纸-宣纸                                              	 1                                                 
MC02010006                                         	 A4白纸                                               	 4                                                 
MC0202DE000234                                     	 贴纸-A4白纸                                            	 1                                                 
MC0202DE000078                                     	 贴纸-素描纸40*30mm热敏贴纸                                  	 1                                                 
MC02010002                                         	 瓦楞纸                                                	 1                                                 
MC0202DE000055                                     	 贴纸-瓦楞纸                                             	 1                                                 
MC0202DE000231                                     	 贴纸-Bettle扩展板                                       	 3                                                 
ME03030002                                         	 Bettle扩展板                                          	 1                                                 
MC0202DE000232                                     	 贴纸-Bettle控制器                                       	 3                                                 
ME03030001                                         	 Bettle控制器                                          	 1                                                 
MC0202DE000142                                     	 贴纸-螺纹小灯泡                                           	 1                                                 
ME03010002                                         	 螺纹小灯泡                                              	 1                                                 
MC0202DE000167                                     	 热敏贴纸-恒温箱                                           	 1                                                 
ME06010002                                         	 恒温箱                                                	 3                                                 
MC0202DE000356                                     	 贴纸-白砂糖25g 40*30mm横板                                	 1                                                 
MC0202DE000086                                     	 贴纸-双U导线                                            	 1                                                 
ME03040004                                         	 双U导线                                               	 2                                                 
MC0202DE000049                                     	 热敏贴纸-洗瓶                                            	 1                                                 
MC1302BX010001                                     	 洗瓶250ml                                            	 2                                                 
MC0202DE000083                                     	 贴纸-双头鳄鱼夹                                           	 1                                                 
MC0202DE000151                                     	 贴纸-可擦白板笔                                           	 1                                                 
MC07020009                                         	 可擦白板笔                                              	 1                                                 
MC0202DE000170                                     	 贴纸-海绵布                                             	 1                                                 
MC08040007                                         	 聚酯纤维海绵布                                            	 1                                                 
MC0202DE000126                                     	 贴纸-尼龙基布                                            	 1                                                 
MC08040006                                         	 超薄尼龙基布                                             	 1                                                 
MC0202DE000014                                     	 贴纸-圆形强力磁铁                                          	 1                                                 
ME01010003                                         	 圆形强力磁铁                                             	 1                                                 
MC0202DE000106                                     	 贴纸-闪粉                                              	 1                                                 
MC08040002                                         	 闪粉                                                 	 1                                                 
MC0202DE000065                                     	 贴纸-条形蜡烛                                            	 1                                                 
MC08040005                                         	 条形蜡烛                                               	 1                                                 
MC0202DE000016                                     	 贴纸-圆底矮蜡烛60*40mm                                    	 1                                                 
MC0202DE000047                                     	 贴纸-橡胶手套40*30mm热敏贴纸                                 	 1                                                 
MC0202DE000085                                     	 热敏贴纸-双公杜邦线                                         	 1                                                 
ME03040008                                         	 双公杜邦线                                              	 1                                                 
MC0202DE000243                                     	 贴纸-1000ml试剂瓶                                       	 1                                                 
ME09030010                                         	 1000ml试剂瓶                                          	 1                                                 
MC0202DE000042                                     	 贴纸-橡皮泥60*40mm                                      	 1                                                 
MC0202DE000165                                     	 贴纸-细画笔40*30mm热敏贴纸                                  	 1                                                 
PPC05A01110007                                     	 橡胶手套M号带包装带贴纸                                       	 38                                                
PPC09C01110003                                     	 脱脂棉5g带包装带贴纸                                        	 5                                                 
PPC05C01110011                                     	 碎纸带包装带贴纸                                           	 3                                                 
PPC08B01110004                                     	 湿纸巾带包装带贴纸                                          	 5                                                 
PPC09C05210001                                     	 脱脂无菌纱布5片带包装带贴纸                                     	 9                                                 
PPC08D01110004                                     	 超薄尼龙基布带包装带贴纸                                       	 4                                                 
PPC05C30110001                                     	 活性炭30g带包装带贴纸                                       	 4                                                 
PPC05C60110001                                     	 黄沙60g带包装带贴纸                                        	 6                                                 
PPC08D01110005                                     	 海绵布带包装带贴纸                                          	 4                                                 
PPE09C01110005                                     	 玻璃棒20cm带包装带贴纸                                      	 21                                                
PPC08C01110001                                     	 保鲜袋2个带包装带贴纸                                        	 4                                                 
MC0202DG000006                                     	 贴纸-创想包HUB贴纸                                        	 10                                                
MC0202DG000003                                     	 贴纸-LET'S PRO贴纸                                     	 18                                                
MC0202DP000053                                     	 贴纸-(中级迷你污水处理系统-HUB贴纸                               	 2                                                 
MC0203C2004M02                                     	 (中级迷你污水处理系统-Hub卡片                                  	 2                                                 
MC09030026                                         	 耐酸碱聚丙烯量杯100ml                                      	 44                                                
MC1304BG010002                                     	 工具箱透明12寸                                           	 5                                                 
PPC08D01110006                                     	 弹性绒布带包装带贴纸                                         	 8                                                 
PP020002110001                                     	 A4牛皮纸150g250g带包装带贴纸                                	 4                                                 
PPC02D10110001                                     	 代金券10张带包装带贴纸                                       	 1                                                 
PPE08C01010001                                     	 塑料盘子无包装带贴纸                                         	 5                                                 
PPC05C02110002                                     	 名牌贴2张带包装带贴纸                                        	 2                                                 
PPC07B01110001                                     	 可擦白板笔带包装带贴纸                                        	 1                                                 
MC0202DP000072                                     	 贴纸-农夫的水果乐园-QUBE                                    	 1                                                 
MC0203Y2019C03                                     	 农夫的水果乐园-Qube卡片                                     	 1                                                 
PPC02A01110003                                     	 A4白纸带包装带贴纸                                         	 6                                                 
PPE08B01110001                                     	 眼罩带包装带贴纸                                           	 1                                                 
PPC05A01110004                                     	 橡皮泥带包装带贴纸                                          	 3                                                 
PPC13C04110001                                     	 侧开盒80*80*80mm4个带包装带贴纸                              	 1                                                 
MC0202DP000030                                     	 贴纸-认识空气-HUB贴纸                                      	 1                                                 
MC0203Y1001C02                                     	 认识空气-Hub卡片                                         	 2                                                 
MC0202DP000044                                     	 贴纸-气球动力车-HUB贴纸                                     	 1                                                 
MC0203Y2018C02                                     	 气球动力车-Hub卡片                                        	 1                                                 
ME07010012                                         	 手持打气筒                                              	 1                                                 
PPC01B01110001                                     	 铁丝8cm带包装带贴纸                                        	 1                                                 
PPC02A01110007                                     	 瓦楞纸5*5cm带包装带贴纸                                     	 1                                                 
PP020002110004                                     	 红蓝指甲油带包装带贴纸                                        	 1                                                 
PPC05A01110002                                     	 橡胶手套XS号带包装带贴纸                                      	 35                                                
PPE01A02110001                                     	 条形强力磁铁2个带包装带贴纸                                     	 1                                                 
PPE07A01110007                                     	 标准指南针带包装带贴纸                                        	 1                                                 
PPE01A02110003                                     	 NS条形磁铁2个带包装带贴纸                                     	 3                                                 
MC0203Y2015C03                                     	 指南针DIY-Qube卡片                                      	 1                                                 
MC0202DP000056                                     	 贴纸-指南针DIY-QUBE贴纸                                   	 1                                                 
PPC02B04110001                                     	 白色热敏标签纸4个带包装带贴纸                                    	 27                                                
PPC08B02110002                                     	 牙签2根带包装带贴纸                                         	 8                                                 
PPC08D02110001                                     	 气球2个带包装带贴纸                                         	 3                                                 
PPC07A04110001                                     	 封口夹4个带包装带贴纸                                        	 1                                                 
PPC08C04110002                                     	 保鲜袋4个带包装带贴纸                                        	 1                                                 
MC0202DP000013                                     	 贴纸-认识空气-QUBE贴纸                                     	 1                                                 
MC0203Y1001C03                                     	 认识空气-Qube卡片                                        	 2                                                 
MC0202DP000063                                     	 贴纸-万能空气炮-HUB贴纸                                     	 1                                                 
MC0203Y3012C02                                     	 万能空气炮-Hub卡片                                        	 1                                                 
PPC08D24110001                                     	 圆底矮蜡烛24个带包装带贴纸                                     	 1                                                 
PPC07A06110002                                     	 透明胶带24mm6个带包装带贴纸                                   	 1                                                 
PPC11A01110006                                     	 意大利面250g带包装带贴纸                                     	 6                                                 
PPC08B01110002                                     	 棉线带包装带贴纸                                           	 8                                                 
PPC11A90110001                                     	 棉花糖90g带包装带贴纸                                       	 6                                                 
MC0202DP000037                                     	 贴纸-小小桥梁建筑师-HUB贴纸                                   	 1                                                 
MC0203Y3011C02                                     	 小小桥梁建筑师-Hub卡片                                      	 1                                                 
PPC09C02110001                                     	 塑料胶头滴管2个带包装带贴纸                                     	 12                                                
MC0202DP000011                                     	 贴纸-生命中最美的画笔-QUBE贴纸                                 	 1                                                 
MC0203C2018C03                                     	 生命中最美的画笔-Qube卡片                                    	 1                                                 
MC1303BC010004                                     	 侧开盒 150*80*200mm350g                               	 10                                                
ME09030032                                         	 儿童试管架（6孔）                                          	 1                                                 
PPC02A01110001                                     	 素描纸带包装带贴纸                                          	 2                                                 
PPE07B01110001                                     	 细画笔带包装带贴纸                                          	 13                                                
PPE09C01110004                                     	 玻璃棒15cm带包装带贴纸                                      	 24                                                
PPC09C05110002                                     	 试管5根带包装带贴纸                                         	 2                                                 
PPE05B01110002                                     	 小猪模型带包装带贴纸                                         	 1                                                 
PPC08C01110002                                     	 洗洁精100ml带包装带贴纸                                     	 2                                                 
PPC11B01110009                                     	 食用油100mL带包装带贴纸                                     	 4                                                 
PPC08B02110003                                     	 湿纸巾2个带包装带贴纸                                        	 5                                                 
PPC09C03110001                                     	 30ml量杯(带盖3个带包装带贴纸                                  	 1                                                 
PPC11A01110007                                     	 蜂蜜100ml带包装带贴纸                                      	 3                                                 
PPE13B01010001                                     	 纯净水100ml（不装水只有分装瓶）无包装带贴纸                           	 1                                                 
MC0202DP000018                                     	 贴纸-密度塔-QUBE贴纸                                      	 1                                                 
MC0203Y2011C03                                     	 密度塔-Qube卡片                                         	 1                                                 
PPE07A10110003                                     	 实木锥子(带护套10个带包装带贴纸                                  	 2                                                 
PPE07A10110002                                     	 十字螺丝刀10个带包装带贴纸                                     	 4                                                 
PPE07A10110001                                     	 尖嘴钳10个带包装带贴纸                                       	 1                                                 
PPE05C10110001                                     	 超轻粘土10盒带包装带贴纸                                      	 1                                                 
PPE03D10110001                                     	 USB下载线10根带包装带贴纸                                    	 1                                                 
MC0202DP000032                                     	 热敏贴纸-虫虫机器人-HUB贴纸                                   	 1                                                 
MC0203C2023C02                                     	 虫虫机器人-Hub卡片                                        	 1                                                 
MC1304BG010003                                     	 工具箱透明13寸                                           	 6                                                 
PPC08D01110001                                     	 圆底矮蜡烛带包装带贴纸                                        	 2                                                 
PPC09B10110002                                     	 食用小苏打10g带包装带贴纸                                     	 2                                                 
PPC09C01110005                                     	 塑料胶头滴管带包装带贴纸                                       	 18                                                
PPE09C01110001                                     	 单头药匙带包装带贴纸                                         	 21                                                
PPC11B01110004                                     	 白醋100mL带包装带贴纸                                      	 1                                                 
MC0202DP000067                                     	 贴纸-神奇的灭火气体-QUBE贴纸                                  	 1                                                 
MC0203Y1005C03                                     	 神奇的灭火气体-Qube卡片                                     	 1                                                 
MC1303BC010006                                     	 侧开盒 105*105*140mm350g                              	 2                                                 
ME09030003                                         	 玻璃烧杯500ml                                          	 4                                                 
PPE02B06110001                                     	 圆形强力磁铁6个带包装带贴纸                                     	 1                                                 
PPE01A02110002                                     	 条形磁铁2根带包装带贴纸                                       	 4                                                 
PPE07A01110009                                     	 金属制指南针带包装带贴纸                                       	 4                                                 
PPE01A01110002                                     	 环形磁铁带包装带贴纸                                         	 4                                                 
MC0202DE000201                                     	 贴纸-磁体套件                                            	 2                                                 
MC0202DP000075                                     	 贴纸-磁悬浮初探-HUB贴纸                                     	 1                                                 
MC0203Y3015C02                                     	 磁悬浮初探-Hub卡片                                        	 1                                                 
PPE01A01110001                                     	 蹄形磁铁带包装带贴纸                                         	 4                                                 
MC0202DE000158                                     	 贴纸-鸡蛋盒                                             	 1                                                 
MC0202DP000060                                     	 贴纸-悬浮的鸡蛋-HUB贴纸                                     	 1                                                 
MC0203Y1009C02                                     	 悬浮的鸡蛋-Hub卡片                                        	 1                                                 
MC1301BO010003                                     	 OPP袋28*44cm                                        	 2                                                 
ME08030004                                         	 鸡蛋盒                                                	 1                                                 
PP020002110005                                     	 虹吸小喷泉套件带包装带热敏贴纸                                    	 1                                                 
MC0202DP000029                                     	 贴纸-水往高处走-QUBE贴纸                                    	 1                                                 
MC0203Y3021C03                                     	 水往高处走-Qube卡片                                       	 1                                                 
PPC11A02110003                                     	 水果味曼妥思糖2粒带包装带贴纸                                    	 1                                                 
PPC11A01110002                                     	 面粉8g带包装带贴纸                                         	 1                                                 
PPC11A02110001                                     	 可乐味曼妥思糖2粒带包装带贴纸                                    	 1                                                 
PPC11A02110004                                     	 荷氏薄荷糖2粒带包装带贴纸                                      	 1                                                 
PPC07B02110001                                     	 粉笔2根带包装带贴纸                                         	 1                                                 
PPC11A02110002                                     	 薄荷味曼妥思糖2粒带包装带贴纸                                    	 1                                                 
MC0202DP000007                                     	 贴纸-我的火山喷发了-QUBE贴纸                                  	 1                                                 
MC0203Y1003C03                                     	 我的火山喷发了-Qube卡片                                     	 1                                                 
MC1303BF010001                                     	 飞机盒T1                                              	 29                                                
PPC08C01010001                                     	 塑料餐盒带贴纸无包装                                         	 1                                                 
PPC02B02110001                                     	 标签纸2张带包装带贴纸                                        	 2                                                 
MC0202DG000002                                     	 贴纸-创想包QUBE贴纸                                       	 9                                                 
MC0202DP000027                                     	 贴纸-(中级迷你污水处理系统-QUBE贴纸                              	 2                                                 
MC0203C2004M03                                     	 (中级迷你污水处理系统-Qube卡片                                 	 2                                                 
MC09030030                                         	 大号漏斗                                               	 5                                                 
MC1304BG010001                                     	 工具箱透明180*110*70mm                                  	 12                                                
PPC11B01210002                                     	 全脂牛奶250ml原包装带贴纸                                    	 2                                                 
PPE05A01110002                                     	 硅胶隔热手套带包装带贴纸                                       	 8                                                 
MC0202DP000045                                     	 贴纸-牛奶健康知多少-HUB贴纸                                   	 1                                                 
MC0203Y1008C02                                     	 牛奶健康知多少-Hub卡片                                      	 1                                                 
PPC09C02100001                                     	 玻璃烧杯100mL2个带包装无贴纸                                  	 1                                                 
PPE10A01010001                                     	 柱形容器带包装带贴纸                                         	 6                                                 
PPC09C10110004                                     	 脱脂无菌纱布10片带包装带贴纸                                    	 4                                                 
PPC04C02110002                                     	 酵母粉2g带包装带贴纸                                        	 4                                                 
PP020006110001                                     	 橡皮筋4根封口纸2张带包装带贴纸                                   	 4                                                 
PPC11A20110001                                     	 白砂糖20g带包装带贴纸                                       	 2                                                 
MC0202DP000015                                     	 贴纸-葡萄酒酿造-QUBE贴纸                                    	 3                                                 
MC0203Y3025C03                                     	 葡萄酒酿造-Qube卡片                                       	 2                                                 
MC09030025                                         	 耐酸碱聚丙烯量杯500ml                                      	 16                                                
MC1303BF010007                                     	 飞机盒276*182*150mmKK特硬                               	 5                                                 
PPE07B10110001                                     	 普通长尾夹10个带包装带热敏贴纸                                   	 1                                                 
MC0202DP000039                                     	 贴纸-水往高处走-HUB贴纸                                     	 1                                                 
MC0203Y3021C02                                     	 水往高处走-Hub卡片                                        	 1                                                 
MC1303BS010005                                     	 手提盒290*100*240mm                                   	 16                                                
PPE05C05110001                                     	 小旗子5面带包装带热敏贴纸                                      	 1                                                 
PPE06B01110001                                     	 卷尺带包装带热敏贴纸                                         	 1                                                 
MC0202DP000040                                     	 贴纸-水火箭的STEM初探-HUB贴纸                                	 1                                                 
MC0203C2012C02                                     	 水火箭的STEM初探-Hub卡片                                   	 1                                                 
MC1303BS010007                                     	 手提盒400*180*300mm                                   	 6                                                 
ME05010017                                         	 警戒线                                                	 4                                                 
ME06010001                                         	 发射架                                                	 2                                                 
ME07010042                                         	 便携高压打气筒                                            	 2                                                 
PPE06B10110001                                     	 电子计时器10个带包装带贴纸                                     	 1                                                 
PPE06B05110001                                     	 电子温度计5个带包装带贴纸                                      	 1                                                 
MC0202DP000082                                     	 热敏贴纸-STEM导论-HUB贴纸                                  	 1                                                 
MC0203C1001C02                                     	 STEM导论-Hub卡片                                       	 1                                                 
